"scenario_id","abs_bias_new","mse_new","rmse_new","abs_bias_ref","mse_ref","rmse_ref","method_new","method_ref","abs_bias_reduction","mse_reduction","rel_mse","block"
122,0.013387579022286,0.00289958885894041,0.0538478305871315,0.01590435453682,0.00296227326682758,0.0544267697629355,"scap_x_l050","scap_marg_l050",0.00251677551453398,6.26844078871745e-05,0.978839086660528,"B_covariate_dependent"
122,0.013387579022286,0.00289958885894041,0.0538478305871315,0.00301979497637093,0.00270206402450458,0.0519813815178529,"scap_x_l050","trad",-0.0103677840459151,-0.000197524834435834,1.0731014634163,"B_covariate_dependent"
122,0.0276424133441347,0.00785395175191989,0.0886225239536761,0.00317693631426552,0.00270338470944145,0.0519940834080325,"ipcw_x","ipcw_marg",-0.0244654770298692,-0.00515056704247844,2.90522903547184,"B_covariate_dependent"
123,0.00537398481238802,0.00488620038705395,0.0699013618397664,0.00460662780624894,0.00429621942647204,0.0655455523012205,"ps_x_spline","ps_marg_logit",-0.000767357006139083,-0.000589980960581916,1.13732561166374,"B_covariate_dependent"
123,0.00529268319983685,0.00410817510278649,0.0640950474123117,0.00365827127897373,0.00410043168364438,0.0640346131685386,"scap_x_l050","scap_marg_l050",-0.00163441192086312,-7.74341914211094e-06,1.00188843998377,"B_covariate_dependent"
123,0.00529268319983685,0.00410817510278649,0.0640950474123117,0.0208284260412901,0.00458289079726395,0.0676970516142613,"scap_x_l050","trad",0.0155357428414532,0.000474715694477464,0.896415665247604,"B_covariate_dependent"
123,0.0420283036615498,0.019848691534952,0.14088538439083,0.0209947662929656,0.0045887746439848,0.0677404948607906,"ipcw_x","ipcw_marg",-0.0210335373685843,-0.0152599168909672,4.32548840919235,"B_covariate_dependent"
124,0.0364412445555928,0.00671697700614899,0.081957165679085,0.0490044423987887,0.00795430227194312,0.0891868951805315,"scap_x_l050","trad",0.0125631978431959,0.00123732526579412,0.844445782484469,"B_covariate_dependent"
124,0.0381485928755547,0.00806606970717837,0.0898113005538745,0.0287156312287772,0.00628202814629406,0.0792592464403622,"ps_x_spline","ps_marg_logit",-0.00943296164677751,-0.00178404156088431,1.2839913351768,"B_covariate_dependent"
124,0.0364412445555928,0.00671697700614899,0.081957165679085,0.0351089032722074,0.0065827814074259,0.0811343417267059,"scap_x_l050","scap_marg_l050",-0.00133234128338541,-0.000134195598723097,1.02038585066363,"B_covariate_dependent"
124,0.019069325994441,0.0192028450635182,0.1385743304639,0.0491519911150458,0.00796888406941947,0.089268606292579,"ipcw_x","ipcw_marg",0.0300826651206049,-0.0112339609940987,2.40972825005812,"B_covariate_dependent"
125,0.0270144969233379,0.00466229902990042,0.0682810297952544,0.0254969031865556,0.00458639944365606,0.0677229609782093,"scap_x_l050","scap_marg_l050",-0.00151759373678228,-7.58995862443664e-05,1.01654883905704,"B_covariate_dependent"
125,0.0270144969233379,0.00466229902990042,0.0682810297952544,0.00183764347646543,0.00406913032317033,0.0637897352492572,"scap_x_l050","trad",-0.0251768534468724,-0.000593168706730096,1.14577284569936,"B_covariate_dependent"
125,0.0272484465417613,0.00652669369307144,0.0807879551237153,0.0212857508100006,0.0047564199744948,0.0689668034237835,"ps_x_spline","ps_marg_logit",-0.00596269573176066,-0.00177027371857664,1.37218616692162,"B_covariate_dependent"
125,0.0850461779575144,0.0253484804843518,0.159212061365814,0.00177479964127949,0.00406829933202349,0.0637832213989187,"ipcw_x","ipcw_marg",-0.0832713783162349,-0.0212801811523284,6.23073142254359,"B_covariate_dependent"
126,0.024387752459441,0.00645977715650884,0.0803727388889345,0.0300910873835469,0.00559829137685488,0.0748217306459486,"ps_x_spline","ps_marg_logit",0.00570333492410592,-0.000861485779653959,1.15388369801822,"B_covariate_dependent"
126,0.020884572645506,0.00489901011223253,0.0699929290159551,0.0211871293776708,0.00496371096152481,0.0704536085770261,"scap_x_l050","scap_marg_l050",0.000302556732164803,6.47008492922737e-05,0.986965226260395,"B_covariate_dependent"
